species,iucn_status,year
favieri,CR,2015
heterotricha,VU,2015
lanceolata,LC,2015
margaretae,EN,2015
moratii,VU,2015
nana,NT,2015
pancheri,LC,2015
patula,LC,2015
podocarpifolia,LC,2015
pulchella,LC,2015
rubescens,VU,2015
tontoutensis,EN,2015
trachyphylla,LC,2015
vieillardii,NT,2015
wagapii,LC,2015
albinares,DD,2015
groenlandicus,LC,2015
spicifer,LC,2012
bargibanti,DD,2003
histrix,VU,2012
kuda,VU,2014
hippopus,NT,1996
longiceps,LC,2012
caudacutus,LC,2012
speculiger,LC,2015
neoxena,LC,2012
nigricans,LC,2012
tahitica,LC,2012
histrio,LC,2015
profundissimus,LC,2015
annulatus,LC,2010
doliatus,LC,2010
longipes,LC,2010
altaturricula,DD,2013
arenicola,DD,2013
atra,LC,2013
cinerascens,LC,2013
coluber,LC,2013
conusalba,DD,2013
coronopertusa,DD,2013
difficilis,LC,2013
discrepans,DD,2013
dura,DD,2013
edulis,LC,2013
erinaceaus,LC,2013
flavomaculata,LC,2013
fuscocinerea,LC,2013
fuscogilva,VU,2013
fuscopunctata,LC,2013
hilla,LC,2013
impatiens,DD,2013
inhabilis,LC,2013
integra,DD,2013
isuga,LC,2013
lessoni,EN,2013
leucospilota,LC,2013
maculosa,DD,2013
nobilis,EN,2013
olivacea,DD,2013
pardalis,LC,2013
pervicax,LC,2013
rigida,LC,2013
samoana,DD,2013
scabra,EN,2013
turriscelsa,LC,2013
verrucosa,LC,2013
whitmaei,EN,2013
betulifolium,EN,1998
buxifolium,EN,1998
juxtapositum,EN,1998
leratiorum,VU,2010
mathieuanum,EN,1998
polystachyum,EN,1998
rubiginosum,VU,1998
rubrocostatum,EN,1998
sleumerianum,VU,1998
sapiens,LC,2008
cordata,EN,1998
gerontogea,VU,1998
guillauminii,VU,1998
mackeeana,VU,1998
exesa,NT,2014
grandis,LC,2014
microconos,NT,2014
pilosa,LC,2014
rigida,LC,2014
trolli,LC,2015
coggeri,LC,2010
laboutei,DD,2010
macdowelli,LC,2010
major,LC,2010
ornatus,LC,2010
spiralis,LC,2010
hygomii,LC,2015
reinhardtii,LC,2015
gracilis,DD,2015
octofasciatus,DD,2008
cyprinoides,DD,2012
brevipes,LC,2011
atlanticus,LC,2015
fasciola,LC,2015
pacificus,DD,2008
aneitensis,LC,2010
pavo,LC,2010
caledonicus,LC,2010
globosa,LC,2013
muticum,LC,2011
aurora,LC,2013
pamelae,VU,2009
crateriformis,VU,2008
cuneata,VU,2014
palifera,NT,2014
spinipes,LC,2009
dussumieri,LC,2014
edentulus,LC,2014
lineatus,LC,2014
rigilius,LC,2010
indica,DD,2011
platypterus,LC,2011
oxyrinchus,VU,2009
margaretae,VU,2010
oligantha,LC,2010
oligantha,EN,2010
diaphana,LC,2014
elatum,VU,2010
noumeense,VU,2010
pinensis,EN,2010
audax,NT,2011
indica,LC,2015
kerberti,LC,2015
macrura,LC,2015
gentilsiana,DD,2011
viviparus,EN,2011
zebratus,EN,2011
pelamis,LC,2011
brachychirus,LC,2010
hyoproroides,LC,2015
oliviformis,EN,1998
pronyensis,VU,1998
breviceps,DD,2012
sima,DD,2012
marginata,LC,2012
munda,DD,2012
rupestris,LC,2012
nemoralis,LC,2011
cinerascens,LC,2015
sectatrix,LC,2015
rugosum,LC,2013
semperianum,LC,2013
unilineatus,LC,2010
bicolor,LC,2010
dimidiatus,LC,2010
pectoralis,LC,2010
australis,LC,2010
xanthonota,LC,2010
pardalis,VU,2011
robustum,DD,2015
lagocephalus,LC,2014
sceleratus,LC,2014
leucopyga,LC,2012
orientalis,LC,2012
luminosa,LC,2015
australis,LC,2015
festivus,LC,2015
nobilis,LC,2015
photonotus,LC,2015
pusillus,LC,2015
tenuiformis,LC,2015
vadulus,LC,2015
punctata,LC,2011
novaehollandiae,LC,2014
hurlimannii,EN,1998
mandjeliana,VU,1998
pseudocoriacea,VU,1998
trichostemona,NT,1998
asiatica,LC,2010
colubrina,LC,2010
frontalis,NT,2010
laticaudata,LC,2010
saintgironsi,LC,2010
neocaledonica,DD,2011
macrocarpa,CR,1998
equulus,LC,2012
cathartes,VU,2011
granum,CR,2011
montfaouense,EN,2011
mussorgskyi,CR,2011
orokau,VU,2011
ruali,EN,2011
supernum,VU,2011
aequinoctialis,LC,2011
minor,LC,2014
kaaea,LC,2012
flavobrunneum,LC,2015
bewickensis,NT,2008
inaequalis,NT,2008
pruinosa,LC,2008
purpurea,LC,2014
transversa,LC,2014
phrygia,NT,2014
vaigiensis,LC,2012
explanata,LC,2014
foliosa,LC,2014
gardineri,LC,2014
hawaiiensis,LC,2014
incrustans,VU,2014
mycetoseroides,LC,2014
papyracea,LC,2014
scabra,LC,2014
yabei,VU,2008
gracilis,LC,2015
gatopensis,EN,1998
goroensis,CR,1998
multiflora,VU,1998
petiolata,VU,1998
concinnus,LC,2009
jayakari,LC,2015
atlanticum,LC,2015
intermedia,LC,2015
genivittatus,LC,2010
pancheri,CR,1996
austrocaledonica,NT,2010
chevalieri,CR,2010
yateensis,EN,2010
incana,LC,2012
lapponica,NT,2015
limosa,NT,2015
greeri,DD,2010
maruia,EN,2011
nigrofasciolatum,LC,2011
novaecaledoniae,LC,2011
steindachneri,EN,2011
tillieri,NT,2011
vivae,CR,2011
mokai,LC,2008
undulatum,NT,2008
imbricata,EN,1998
gemellarii,LC,2015
corymbosa,LC,2014
diminuta,VU,2008
hataii,LC,2014
hemprichii,LC,2014
pachysepta,NT,2008
robusta,LC,2014
surinamensis,LC,2015
rara,LC,2015
octovalvis,LC,2013
perennis,LC,2011
littorea,LC,2010
racemosa,LC,2010
imperialis,LC,2015
williamsi,LC,2010
neurophylla,VU,1998
magnifica,VU,1998
aemulum,LC,2013
australe,LC,2013
caledonicum,LC,2013
equidens,LC,2013
gracilirostre,LC,2013
grandimanus,LC,2013
lar,LC,2013
microps,LC,2013
cora,LC,2013
choati,LC,2010
kuiteri,LC,2010
meleagris,LC,2010
negrosensis,LC,2010
atlantica,LC,2015
nigricans,VU,2011
alfredi,VU,2011
obtusirostra,DD,2015
boulinda,VU,2011
kaala,CR,2011
montana,VU,2010
taom,CR,2011
tricolor,LC,2011
lanceolatus,LC,2015
cyprinoides,DD,2012
mariei,LC,2012
novaeangliae,LC,2008
anema,DD,2012
atrodorsalis,LC,2014
ditrema,LC,2014
phaeus,DD,2014
longivelis,DD,2015
polylepis,DD,2015
simus,LC,2015
suborbitalis,DD,2015
striatus,LC,2011
bericoides,LC,2015
melanops,LC,2015
valdiviae,LC,2015
perforatus,LC,2015
ampliata,LC,2014
scabricula,LC,2014
sonchifolia,VU,1998
densirostris,DD,2008
ginkgodens,DD,2008
sufflava,DD,2013
elongata,VU,2009
humboldtiana,NT,1998
punctata,VU,1998
melanoleucos,LC,2012
amakusensis,NT,2014
brachyurus,LC,2013
cruentus,DD,2016
leiaspis,LC,2016
dichotoma,LC,2014
exaesa,LC,2014
intricata,LC,2008
murrayi,NT,2008
platyphylla,LC,2008
tenera,LC,2014
australis,LC,2008
macrocneme,DD,2008
robustior,EN,2008
mola,VU,2015
annuligera,NT,2008
curta,LC,2014
magnistellata,NT,2014
multipunctata,VU,2008
salebrosa,VU,2008
valenciennesi,NT,2014
aequituberculata,LC,2014
altasepta,VU,2008
australiensis,VU,2008
cactus,VU,2008
caliculata,VU,2014
capitata,NT,2008
capricornis,VU,2008
cebuensis,VU,2008
cocosensis,VU,2008
corbettensis,VU,2008
crassituberculata,VU,2008
danae,LC,2014
digitata,LC,2008
efflorescens,NT,2014
effusa,NT,2008
floweri,LC,2014
foliosa,NT,2014
foveolata,NT,2014
grisea,LC,2014
hispida,LC,2008
hoffmeisteri,LC,2014
incrassata,NT,2008
informis,LC,2014
millepora,LC,2008
mollis,LC,2008
monasteriata,LC,2014
nodosa,NT,2008
peltiformis,NT,2008
samarensis,VU,2008
spongodes,LC,2008
spumosa,LC,2008
stellata,LC,2008
tuberculosa,LC,2014
turgescens,LC,2008
turtlensis,VU,2008
undata,NT,2008
venosa,NT,2014
verrucosa,LC,2014
cauliflora,VU,1998
moro,LC,2015
cerifera,NT,1998
cephalus,LC,2012
mertoni,LC,2012
notospilus,LC,2012
elephantotus,LC,2014
mancaoi,LC,2008
asperum,LC,2015
nitidulum,LC,2015
obtusirostre,LC,2015
selenops,LC,2015
caledonica,LC,2012
angustialatus,VU,1998
berndti,LC,2016
botche,LC,2016
chryseres,LC,2016
kuntee,LC,2016
murdjan,LC,2016
pralinia,LC,2010
violacea,LC,2016
vittata,LC,2016
woodsi,LC,2016
caledonica,LC,2012
cardinalis,LC,2012
pelagicus,LC,2013
graminea,LC,2013
atrum,LC,2015
lineatum,LC,2015
nativitatis,LC,2014
exos,CR,2011
garrulus,EN,2011
gracilis,VU,2010
greeri,EN,2011
hanchisteus,CR,2010
humectus,EN,2011
manautei,CR,2011
mariei,VU,2011
rankini,VU,2011
slevini,EN,2010
pelagica,DD,2015
stomias,LC,2015
huerlimannii,VU,2000
annulatus,LC,2012
brachycentron,LC,2012
brevirostris,LC,2012
caesius,LC,2012
hexacanthus,LC,2012
lituratus,LC,2012
lopezi,LC,2012
maculatus,LC,2012
tonganus,LC,2012
unicornis,LC,2012
vlamingii,LC,2012
ductor,LC,2015
tripes,LC,2015
ferrugineus,VU,2003
fusca,LC,2010
brevituba,VU,1998
sevenetii,EN,1998
thiollierei,CR,1998
magnifica,LC,2010
curvirostris,LC,2015
scolopaceus,LC,2015
bimaculatus,LC,2010
pancheri,EN,2010
spinifer,LC,2015
armatus,LC,2016
rotunda,LC,2010
capensis,LC,2015
argenteus,LC,2016
opercularis,LC,2016
sammara,LC,2016
taeniurus,DD,2012
macrolepidotus,LC,2015
kuhlii,DD,2015
vieillardii,LC,2000
acanthura,LC,2011
suhmi,LC,2011
sulcata,LC,2011
pulligera,LC,2011
squamipicta,LC,2011
violacea,LC,2010
nasutus,LC,2015
fuliginosa,EN,2012
oligospira,LC,2011
gronovii,LC,2015
brachylepis,LC,2014
squamiceps,LC,2014
thomasi,LC,2014
baumanniae,NT,1998
discoidea,VU,1998
valdiviae,LC,2015
xenosoma,LC,2016
neocaledonica,VU,2008
sapphira,DD,2011
caudispinosus,LC,2015
resplendens,LC,2015
macrolepidotus,LC,2010
taeniourus,LC,2010
phaeopus,LC,2012
chani,DD,2011
japonicus,LC,2011
caledonicus,LC,2012
nebulosus,CR,2008
oceanicus,LC,2012
grandiflora,VU,1998
inventorum,CR,2010
ferox,VU,2016
normalops,LC,2015
marmorata,CR,2011
germaini,LC,2014
obliquus,LC,2014
lowii,LC,2015
biporos,DD,2012
anaethetus,LC,2012
fuscatus,LC,2015
meridiopacifica,DD,2014
porocephala,LC,2012
grimaldii,LC,2015
orca,DD,2013
sabina,LC,2013
neocaledonica,EN,2010
hypsipterygion,DD,2016
japonicus,LC,2016
kaianus,LC,2016
lateralis,LC,2012
bennettae,NT,2008
crispa,NT,2014
aurantium,VU,1998
brevipes,VU,1998
fragrans,EN,1998
neocaledonica,EN,1998
undulata,CR,1998
balansae,EN,2010
cauliflora,VU,1998
crassifolia,NT,1998
macrocalyx,VU,1998
nuda,VU,1998
pulchella,LC,2010
pulchella,LC,2010
bimaculatus,LC,2010
celebicus,LC,2010
digramma,LC,2010
nigromarginatus,DD,2010
orientalis,LC,2010
unifasciatus,LC,2010
typus,LC,2016
longirostris,VU,2016
glabra,LC,2014
lacera,LC,2008
caledonica,LC,2012
rufiventris,LC,2012
desolata,LC,2012
gemmae,NT,2008
rugosa,VU,2014
speciosa,LC,2014
microdon,LC,2015
unicornutus,LC,2011
humboldtiana,NT,1998
multijuga,NT,1998
robusta,NT,1998
clandestinus,NT,1998
decastigma,VU,1998
decumbens,VU,1998
lacuum,EN,1998
verecundus,CR,1998
haliaetus,LC,2015
flavescens,LC,2013
homarus,LC,2011
longipes,LC,2011
ornatus,LC,2011
penicillatus,LC,2011
intermedius,LC,2014
caerulea,DD,2010
hepatus,LC,2012
multifasciata,LC,2010
arcatus,LC,2016
forsteri,LC,2016
hemistictus,LC,2016
prionurus,LC,2016
japonicus,LC,2016
lowei,LC,2016
pumila,LC,1996
xanthozona,LC,2010
usta,VU,2010
bouvieri,LC,2013
caledonica,LC,2013
intermedia,LC,2013
typa,LC,2013
neocaledonicus,DD,2012
albimarginatus,DD,2009
albipenis,DD,2009
antarcticus,LC,2011
caledonicus,LC,2011
crassilabris,LC,2010
multifasciatus,LC,2010
sephen,DD,2009
bipartita,VU,2014
cactus,VU,2014
clavus,LC,2014
decussata,VU,2014
duerdeni,LC,2014
explanulata,LC,2014
gigantea,LC,2008
maldivensis,LC,2014
minuta,NT,2014
varians,LC,2014
venosa,VU,2014
graeffei,LC,2013
alcicornis,VU,2014
elongata,NT,2008
lactuca,VU,2008
paeonia,NT,2014
platura,LC,2010
conspicillatus,LC,2012
acidula,LC,2010
laevis,LC,2011
obscurus,LC,2011
validus,LC,2011
electra,LC,2008
vitreocincta,VU,2000
alternans,LC,2016
aspricaudus,LC,2016
janthinosoma,LC,2016
melanocephalus,LC,2016
brevicornis,LC,2011
breviceps,LC,2014
lupus,LC,2014
mitratus,LC,2014
xestus,LC,2014
lepturus,LC,2012
rubricauda,LC,2013
carbo,LC,2012
sulcirostris,LC,2012
diemenensis,LC,2012
bocourti,EN,2010
garnieri,LC,2011
argenteus,LC,2015
caerulescens,LC,2015
parvimanus,LC,2015
atrox,LC,2015
pycnopterus,LC,2015
belcheri,LC,2016
diacanthus,LC,2016
lineatus,LC,2015
nodiflora,LC,2013
undulatus,LC,2012
aeneus,LC,2010
aeneus,LC,2010
aeneus,EN,2010
aeneus,CR,2010
conjugatus,EN,2010
deplanchei,VU,2010
faguetii,LC,2010
pindaiensis,CR,2010
unifoliatus,EN,2010
roseus,LC,2010
lichtensteini,VU,2014
balansana,LC,2010
trifoliata,LC,2010
trifoliata,EN,2010
trifoliata,EN,2010
trifoliata,LC,2010
eugenioides,EN,2010
artensis,VU,2010
aliferum,EN,1998
artense,VU,1998
brevispinum,EN,2010
collinum,VU,1998
gatopense,VU,2010
gomonenense,EN,1998
muricatum,EN,1998
ornatum,EN,1998
paniense,VU,1998
stenophyllum,EN,1998
tanianum,CR,2004
eddystonensis,VU,1996
fibratus,VU,1996
porphyrostomus,VU,1996
laudandus,LC,2014
rhinorhynchos,LC,2014
tapeinosoma,LC,2014
regia,LC,2012
contorta,LC,2008
daedalea,LC,2014
lamellina,NT,2008
pini,LC,2014
ryukyuensis,NT,2014
sinensis,LC,2008
crassifolium,NT,1998
apus,LC,2015
gibbosus,LC,2012
nanum,LC,2010
areolatus,VU,2008
laevis,VU,2008
leopardus,NT,2004
lima,LC,2016
falcinellus,LC,2015
baillonii,CR,2015
crassipes,LC,2015
elegantissima,EN,2015
elongata,NT,2015
emiliana,NT,2015
gabriellae,LC,2015
leptophylla,LC,2015
nono,VU,2015
osyana,LC,2015
osyana,LC,2015
osyana,LC,2015
pachyphylla,EN,2015
pancheri,LC,2015
plerandroides,LC,2015
polydactylis,VU,2015
reginae,LC,2015
"sp. nov. ""calcicola""",EN,2015
"sp. nov. ""letocartiorum""",CR,2015
"sp. nov. ""longistyla""",EN,2015
"sp. nov. ""mackeei""",CR,2015
"sp. nov. ""memaoyaensis""",CR,2015
"sp. nov. ""neocaledonica""",NT,2015
"sp. nov. ""pouemboutensis""",CR,2015
"sp. nov. ""taomensis""",VU,2015
"sp. nov. ""tronchetii""",VU,2015
veilloniorum,LC,2015
veitchii,VU,2015
simplex,NT,2014
sinuosa,NT,2014
versipora,LC,2014
daviesi,LC,2015
fulva,LC,2012
squatarola,LC,2012
damicornis,LC,2014
danae,VU,2014
eydouxi,NT,2014
meandrina,LC,2014
verrucosa,LC,2014
woodjonesi,LC,2014
crustacea,LC,2014
motuporensis,NT,2008
decumbens,CR,2010
gnidioides,NT,2010
longefoliolatus,EN,2010
lucienii,LC,2010
novae-caledoniae,LC,2010
polyspermus,EN,2010
sylvestris,LC,2010
concolor,NT,2015
cristagalli,CR,2015
davidsonii,EN,2015
gongrocarpum,LC,2015
homei,LC,2015
pachycaule,LC,2015
parvifolium,CR,2015
plicatum,VU,2015
subaequilaterum,CR,2015
baccatus,LC,2011
coccifer,LC,2011
enthrix,LC,2011
typhlops,LC,2011
microstomus,LC,2010
novaehiberniae,NT,2008
talpina,LC,2014
crenata,VU,2010
nothisii,EN,2010
imperator,LC,2010
navarchus,LC,2010
semicirculatus,LC,2010
sexstriatus,LC,2010
xanthometopon,LC,2010
argenteus,LC,2012
macrocephalus,LC,2010
annae,NT,2014
attenuata,VU,2008
australiensis,LC,2014
cylindrica,NT,2014
deformis,NT,2008
densa,NT,2014
heronensis,LC,2008
horizontalata,VU,2014
latistella,LC,2008
lichen,LC,2014
lobata,NT,2014
lutea,LC,2014
monticulosa,LC,2014
murrayensis,NT,2014
myrmidonensis,LC,2008
nigrescens,VU,2014
rus,LC,2014
solida,LC,2014
stephensoni,NT,2014
vaughani,LC,2014
crassiceps,LC,2015
megalops,DD,2015
porphyrio,LC,2015
nodosus,LC,2014
brevipedicellata,EN,1998
contermina,EN,1998
danikeri,EN,1998
kaalaensis,EN,1998
pinifolia,EN,1998
bilineatus,LC,2014
glauca,NT,2009
maculatus,LC,2012
jeanneneyi,CR,1998
cerulea,LC,2014
guyotensis,DD,2010
prometheus,LC,2015
attiti,EN,2012
ferruginoides,LC,2010
contigua,NT,2014
digitata,NT,2014
haimeana,LC,2014
obtusangula,NT,2014
profundacella,LC,2014
superficialis,LC,2014
biocellatus,LC,2012
arafurensis,LC,2015
cyanophrys,LC,2015
pellucidus,LC,2015
nasicornis,LC,2016
pictilis,LC,2010
ventralis,LC,2010
incisum,VU,2010
rostrata,NT,2012
evanidus,LC,2010
hexataenia,LC,2010
ocellatus,LC,2010
octotaenia,LC,2010
tetrataenia,LC,2010
bleekeri,LC,2010
yamashiroi,LC,2010
moluccanus,LC,2010
cerasinus,DD,2010
scopoliae,VU,1998
crassidens,DD,2008
balansae,VU,1998
altipinnis,LC,2015
scriptus,LC,2015
tayami,NT,2008
deverdiana,VU,2010
paradoxa,VU,1998
cryptus,LC,2010
enneacanthus,LC,2010
flagellifer,LC,2010
cervicalis,VU,2012
heraldica,LC,2012
leucoptera,VU,2015
nigripennis,LC,2015
solandri,VU,2012
lunulata,LC,2010
ornatus,VU,2008
tonganus,LC,2008
vetulus,VU,2008
greyi,LC,2012
angulatus,LC,2011
bailloni,LC,2014
blanchonii,EN,1998
francei,VU,1998
kaalaensis,VU,1998
squamipinne,LC,2010
diacanthus,LC,2010
canadum,LC,2015
willeyi,DD,2011
pancheriana,VU,2010
laevis,LC,2015
kanagurta,DD,2011
balteatus,LC,2012
bikolanus,LC,2012
chrysosoma,LC,2012
tambujon,LC,2012
glesne,LC,2015
bertholdii,LC,2011
australis,LC,2015
osteochir,LC,2015
remora,LC,2015
comptonii,LC,2010
minus,EN,2010
snowi,LC,2014
auriculatus,LC,2010
chahoua,VU,2011
ciliatus,VU,2011
leachianus,LC,2011
sarasinorum,VU,2011
trachyrhynchus,EN,2011
alutaceus,EN,1996
ancylostoma,VU,2016
typus,EN,2016
quaesita,LC,2010
fuliginosa,LC,2012
verreauxi,LC,2012
apiculata,LC,2010
samoensis,NT,2010
stylosa,LC,2010
guilberti,DD,2012
natalensis,LC,2015
jubatus,EN,2013
apicalis,LC,2009
loricata,LC,2015
attrita,LC,2015
maderensis,LC,2015
alboguttatus,LC,2014
fasciatus,LC,2014
guttatus,LC,2014
dentata,LC,2014
robusta,LC,2008
glauca,CR,1998
fijiense,LC,2010
caudimaculatum,LC,2016
cornutum,LC,2016
diadema,LC,2016
ensifer,LC,2016
iota,LC,2016
ittodai,LC,2016
lepros,LC,2016
melanospilos,LC,2016
praslin,LC,2016
punctatissimum,LC,2016
rubrum,LC,2016
spiniferum,LC,2016
tiere,LC,2016
violaceum,LC,2016
batei,LC,2011
cylindrica,LC,2014
altipinnis,LC,2012
chameleon,LC,2012
dimidiatus,LC,2012
flavipectoralis,LC,2012
forsteni,LC,2012
frenatus,LC,2012
globiceps,LC,2012
longipinnis,LC,2012
niger,LC,2012
oviceps,LC,2012
psittacus,LC,2012
pyrrostethus,LC,2012
quoyi,LC,2012
rivulatus,LC,2012
rubroviolaceus,LC,2012
schlegeli,LC,2012
spinus,LC,2012
argus,LC,2010
apioidea,VU,1998
veitchii,EN,1998
fuligimentus,DD,2012
tabernaemontani,LC,2014
australis,LC,2014
vitiensis,NT,2008
commerson,NT,2011
heterolepis,LC,2015
danae,LC,2015
analis,LC,2015
guentheri,LC,2015
michaelsarsi,LC,2015
robustus,DD,2015
beanii,DD,2015
mizolepis,LC,2015
hirsutus,LC,2010
ramaraoi,LC,2010
squammosus,LC,2011
hydrophylacea,LC,2010
novaehollandiae,LC,2012
crumenophthalmus,LC,2015
riparia,EN,1998
latimanus,DD,2012
macrocephala,DD,2011
calycina,VU,1998
margaretae,VU,1998
petitiana,NT,1998
aculeata,VU,2014
caliendrum,NT,2014
hystrix,LC,2014
dumerili,LC,2015
lalandi,LC,2015
rivoliana,LC,2015
caerulea,LC,2010
beanii,LC,2015
lagocephalus,LC,2012
sarasini,EN,2012
zosterophorus,LC,2012
deplanchei,NT,2011
ruficauda,VU,2010
vermiculatus,LC,2012
bathyphilus,LC,2015
aurantiacus,VU,2011
herrei,DD,2016
striatus,DD,2016
lepida,VU,1998
suaveolens,VU,1998
chloe,LC,2012
pentecost,DD,2012
canina,LC,2015
hugonis,EN,2010
pancheri,NT,2010
alba,LC,2010
caseolaris,LC,2010
rhynchotis,LC,2012
grandis,LC,2015
novo-caledoniae,VU,2012
pachygaster,LC,2014
barracuda,LC,2015
lewini,EN,2007
mokarran,EN,2007
sinensis,LC,2014
spirula,LC,2012
gracilis,LC,2010
kulbickii,LC,2014
bucephalus,DD,2009
megalops,DD,2003
melanurus,LC,2003
mitsukurii,DD,2007
seychellensis,LC,2014
gascoynei,LC,2010
fasciatum,VU,2003
hypomelas,LC,2015
gracilis,LC,2010
attenuata,LC,2012
coeruleoalba,LC,2008
longirostris,DD,2012
bredanensis,LC,2012
heterophyllus,EN,1998
villosus,CR,1998
yateiensis,LC,2012
longicaudus,LC,2012
parasiticus,LC,2012
pomarinus,LC,2012
aculeata,LC,2011
auriculata,LC,2011
galil,LC,2011
helleri,LC,2011
nana,LC,2011
sculpta,LC,2011
surda,LC,2011
dougallii,LC,2015
hirundo,LC,2015
sumatrana,LC,2015
pseudodiaphana,LC,2015
albifrons,LC,2012
nereis,VU,2012
bandanensis,LC,2010
notialis,LC,2010
strigiventer,LC,2010
trilineata,LC,2010
oualaniensis,LC,2014
chloronotus,LC,2013
herrmanni,VU,2013
horrens,DD,2013
monotuberculatus,DD,2013
naso,LC,2013
noctivagus,LC,2013
tiliifolia,LC,2016
atratus,LC,2012
mele,DD,2012
rutilaureus,LC,2012
sapphirinus,LC,2012
semoni,DD,2012
affinis,LC,2015
longibarbatus,LC,2015
sclerophyllus,VU,1998
armata,LC,2014
guentheri,LC,2014
pistillata,NT,2014
subseriata,LC,2008
atrox,LC,2015
arquatus,LC,2010
devisi,LC,2010
fraenatum,LC,2010
dactylatra,LC,2015
leucogaster,LC,2015
sula,LC,2012
rufinus,LC,2015
agaricia,LC,2014
hassi,VU,2008
radians,LC,2008
recta,LC,2008
valenciennesii,LC,2014
campioni,LC,2009
flexicauda,DD,2009
miranda,LC,2009
isoetifolium,LC,2010
pendulinum,EN,2010
poyanum,VU,2010
veillonii,EN,2010
bathyphilus,LC,2015
minimus,LC,2015
novaehollandiae,LC,2012
cirratus,DD,2012
lymma,NT,2005
meyeni,VU,2015
oblongus,LC,2014
antillarum,LC,2015
longifilis,LC,2015
campanula,VU,1998
rubescens,LC,2015
theraps,LC,2011
rubrovittatus,LC,2010
cherrieri,EN,2010
novocaledonica,VU,1998
billardierei,LC,2015
atlanticus,LC,2015
cuvieri,LC,2015
angustirostris,DD,2011
barbata,LC,2009
gibbosus,LC,2010
impavida,VU,2012
bergii,LC,2015
hemprichii,LC,2010
amblycephalum,LC,2010
hardwicke,LC,2010
lunare,LC,2010
lutescens,LC,2010
nigrofasciatum,LC,2010
purpureum,LC,2010
quinquevittatum,LC,2010
trilobatum,LC,2010
fijiensis,DD,2010
modestoides,LC,2016
tessellatus,LC,2016
japonicus,LC,2011
ananas,EN,2013
anax,DD,2013
rubralineata,DD,2013
plicaria,LC,2011
tillarga,LC,2013
alalunga,NT,2011
albacares,NT,2011
obesus,VU,2011
dentex,LC,2015
rhombus,LC,2014
noumeanum,CR,2010
sanctus,LC,2012
hypselogeneion,LC,2014
pallimaculatus,LC,2014
tuberculiferus,LC,2010
myops,LC,2015
geoffroyi,NT,2008
bicoarctatus,LC,2016
loewii,LC,2013
transmarina,LC,2013
gracilis,LC,2014
obesus,NT,2005
lepturus,LC,2015
haematodus,LC,2014
derasa,VU,1996
gigas,VU,1996
maxima,NT,1996
squamosa,NT,1996
miriceps,LC,2015
cherrieri,CR,2010
percostale,LC,2009
brevipes,NT,2014
incana,LC,2012
nebularia,LC,2015
lucida,NT,1998
macphersonii,VU,1998
minutiflora,VU,1998
polyandra,EN,1998
reticulata,VU,1998
vieillardii,VU,1998
yateensis,EN,1998
aubrianus,VU,2011
boreus,LC,2010
variabilis,LC,2011
guerinii,LC,2012
musica,NT,2008
inopinata,CR,2010
bifrons,VU,2008
frondens,LC,2008
mesenterina,VU,2014
patula,VU,2008
peltata,VU,2008
radicalis,NT,2008
reniformis,VU,2014
stellulata,VU,2014
poliocephalus,LC,2012
novaecaledoniae,CR,2014
truncatus,LC,2012
spinosissimus,LC,2014
acus,LC,2015
crocodilus,LC,2015
longimembris,LC,2012
xenogrammus,LC,2014
oligolepis,LC,2010
asperrimus,VU,2016
deforgesi,LC,2006
neocaledoniensis,LC,2006
papilio,LC,2006
fuscoguttatus,LC,2010
gibba,LC,2014
novaehollandiae,LC,2014
albimarginata,LC,2008
louti,LC,2008
proboscidea,LC,2015
nimbaria,LC,2015
poweriae,LC,2015
evoluta,EN,1998
richardi,LC,2014
ouaiemensis,VU,1998
albofasciata,LC,2010
nigropinnata,LC,2010
telescopa,LC,2015
glaucus,CR,1998
sulfureus,VU,1998
copei,LC,2015
dalgleishi,LC,2015
danae,LC,2015
cinereus,LC,2012
setifer,LC,2014
gladius,LC,2016
typus,LC,2010
granatum,LC,2010
boulindae,VU,1998
capillipes,CR,1998
grossecrenatum,EN,2010
inaequinervium,EN,1998
kaalaense,VU,1998
molestum,VU,1998
peltatum,CR,1998
pininsulare,CR,1998
serpentinum,VU,1998
tuberculatum,VU,1998
halsteadi,LC,2010
pancheri,EN,2013
tabuensis,LC,2012
scopas,LC,2012
veliferum,LC,2012
dispar,LC,2012
hololepis,LC,2015
chevalieri,VU,1998
cavirostris,LC,2008
echinatus,LC,2008
inornatus,LC,2012
lateralis,LC,2012
minutus,LC,2012
xanthochroa,LC,2012
cristatus,LC,2015
cristatum,VU,1998
oligostigma,EN,1998
tanyostigma,VU,1998
serrator,LC,2012
birostris,VU,2010
amblyrhynchos,NT,2005
brevipinna,NT,2005
limbatus,NT,2005
sorrah,NT,2007
paucus,VU,2006
acutidens,VU,2003
imbricata,CR,2008
ghobban,LC,2012
lifouensis,DD,2016
foertherianum,LC,1998
manghas,DD,NA
nutans,DD,NA
alata,DD,2016
macrorrhizos,LC,2014
semeion,LC,2009
